disc,steam,mmr,pos1,pos2,pos3,pos4,pos5
238402271849742336,159179884,3000,5,5,5,5,5
215529156031545344,28707060,2500,5,5,5,5,5
215529156031545344,/28707060,2500,5,5,5,5,5
238402271849742336,159179884,3000,5,5,5,5,5
